order_id,date,year,month,region,store,channel,segment,category,product_name,unit_price,quantity,discount_rate,revenue,margin_rate,profit,status
C8698672,2024-07-16,2024,2024-07,West,Store B,Online,SMB,Home,Air Purifier,96.7,2,0.045,184.7,0.15,27.7,Completed
7E18EFA0,2025-03-28,2025,2025-03,South,Store C,Online,Consumer,Home,Air Purifier,309.53,5,0.173,1279.91,0.294,376.29,Completed
879FFC9F,2025-02-19,2025,2025-02,Central,Store B,Offline,Consumer,Apparel,Hoodie,61.96,6,0.259,275.47,0.241,66.39,Completed
038473C5,2024-06-18,2024,2024-06,East,Store E,Online,Consumer,Home,Lamp,64.51,3,0.314,132.76,0.278,36.91,Completed
D36C86D4,2024-11-05,2024,2024-11,East,Store B,Online,Consumer,Electronics,Smartphone,283.84,7,0.154,1680.9,0.211,354.67,Completed
8DD0E46A,2024-05-29,2024,2024-05,East,Store A,Offline,Corporate,Home,Air Purifier,114.8,4,0.232,352.67,0.281,99.1,Completed
8AFEAE9B,2024-09-01,2024,2024-09,South,Store C,Online,Consumer,Electronics,Smartphone,288.51,5,0.125,1262.23,0.255,321.87,Cancelled
8E9542BE,2024-07-09,2024,2024-07,East,Store A,Online,Corporate,Home,Lamp,295.9,8,0.086,2163.62,0.364,787.56,Completed
0E3D6BE2,2024-12-20,2024,2024-12,North,Store B,Offline,Corporate,Electronics,Headphones,373.49,5,0.105,1671.37,0.266,444.58,Completed
13A2FD50,2024-07-18,2024,2024-07,Central,Store B,Offline,Consumer,Grocery,Pasta 1kg,15.94,5,0.04,76.51,0.305,23.34,Completed
4AEAB3CC,2024-09-04,2024,2024-09,West,Store A,Online,Consumer,Apparel,T-Shirt,90.53,2,0.054,171.28,0.18,30.83,Completed
74828FA2,2025-01-23,2025,2025-01,Central,Store D,Online,Consumer,Grocery,Rice 5kg,12.48,2,0.207,19.79,0.222,4.39,Completed
271CEA1B,2024-08-11,2024,2024-08,Central,Store C,Online,Consumer,Electronics,Headphones,353.91,5,0.11,1574.9,0.231,363.8,Returned
26C961CA,2025-05-04,2025,2025-05,West,Store D,Online,Consumer,Grocery,Eggs 12,4.89,2,0.31,6.75,0.407,2.75,Completed
E839F722,2024-04-07,2024,2024-04,Central,Store C,Offline,Consumer,Apparel,Jacket,84.51,3,0.023,247.7,0.299,74.06,Cancelled
75EBDD46,2025-02-04,2025,2025-02,West,Store D,Online,Consumer,Grocery,Pasta 1kg,8.68,4,0.036,33.47,0.304,10.17,Completed
838209F4,2024-08-16,2024,2024-08,East,Store C,Online,Consumer,Grocery,Pasta 1kg,44.84,6,0.191,217.65,0.239,52.02,Completed
A188AADC,2024-08-18,2024,2024-08,North,Store E,Offline,Consumer,Electronics,Camera,851.59,5,0.041,4083.37,0.219,894.26,Completed
B11B0143,2024-12-08,2024,2024-12,East,Store E,Offline,Consumer,Electronics,Laptop,581.91,2,0.219,908.94,0.246,223.6,Cancelled
50566EA3,2024-10-09,2024,2024-10,East,Store A,Online,Corporate,Electronics,Smartphone,832.45,3,0.155,2110.26,0.293,618.31,Returned
DA835A0E,2024-08-12,2024,2024-08,West,Store C,Online,Consumer,Apparel,T-Shirt,80.78,3,0.151,205.75,0.407,83.74,Cancelled
B7126223,2024-01-01,2024,2024-01,Central,Store E,Online,SMB,Apparel,Sneakers,46.77,4,0.0,187.08,0.23,43.03,Completed
C23B09EA,2024-02-19,2024,2024-02,West,Store A,Online,SMB,Grocery,Pasta 1kg,23.36,1,0.096,21.12,0.24,5.07,Completed
CB6AEBBD,2025-01-18,2025,2025-01,North,Store B,Offline,Corporate,Home,Chair,315.32,4,0.099,1136.41,0.221,251.15,Completed
A925D31C,2024-10-10,2024,2024-10,North,Store A,Online,Consumer,Beauty,Shampoo,41.75,2,0.222,64.96,0.404,26.24,Completed
8BEBB3C2,2025-01-10,2025,2025-01,Central,Store B,Offline,Consumer,Home,Lamp,142.47,1,0.172,117.97,0.283,33.39,Completed
BC3ED4EB,2025-05-30,2025,2025-05,Central,Store E,Offline,Consumer,Home,Lamp,43.61,4,0.081,160.31,0.417,66.85,Completed
4373B418,2025-01-03,2025,2025-01,South,Store E,Online,Consumer,Electronics,Tablet,700.09,3,0.146,1793.63,0.272,487.87,Cancelled
7FA5D69B,2024-01-29,2024,2024-01,North,Store E,Online,Consumer,Home,Cookware Set,312.34,2,0.195,502.87,0.27,135.77,Completed
60DB74FC,2024-06-15,2024,2024-06,North,Store D,Online,Consumer,Grocery,Pasta 1kg,28.25,2,0.052,53.56,0.183,9.8,Completed
76ED9281,2024-11-16,2024,2024-11,North,Store A,Offline,Consumer,Apparel,T-Shirt,114.94,8,0.18,754.01,0.403,303.87,Completed
516B17D1,2024-05-06,2024,2024-05,Central,Store D,Online,Consumer,Grocery,Olive Oil 500ml,42.14,2,0.173,69.7,0.228,15.89,Completed
32CDDA01,2025-06-05,2025,2025-06,South,Store C,Online,Consumer,Home,Vacuum,70.32,2,0.199,112.65,0.25,28.16,Completed
5929EF07,2025-05-25,2025,2025-05,East,Store E,Offline,Corporate,Home,Lamp,318.13,3,0.146,815.05,0.197,160.56,Completed
96B754A2,2025-04-03,2025,2025-04,West,Store C,Offline,Corporate,Electronics,Headphones,777.22,2,0.163,1301.07,0.26,338.28,Completed
E438936D,2024-09-12,2024,2024-09,South,Store E,Online,SMB,Beauty,Conditioner,31.73,3,0.05,90.43,0.126,11.39,Completed
CD7B2433,2025-03-30,2025,2025-03,East,Store E,Online,Consumer,Beauty,Serum,34.1,2,0.0,68.2,0.227,15.48,Completed
197A97FB,2024-03-11,2024,2024-03,East,Store A,Offline,Corporate,Beauty,Sunscreen,84.64,5,0.171,350.83,0.312,109.46,Completed
A3E14C45,2024-06-15,2024,2024-06,South,Store A,Offline,Consumer,Grocery,Olive Oil 500ml,40.96,3,0.076,113.54,0.253,28.73,Completed
2FD400F3,2024-09-07,2024,2024-09,North,Store C,Online,Consumer,Apparel,Dress,111.65,4,0.195,359.51,0.201,72.26,Completed
38FE5ED8,2025-02-04,2025,2025-02,East,Store A,Online,SMB,Grocery,Eggs 12,36.85,1,0.077,34.01,0.253,8.6,Completed
C2793CB7,2024-09-19,2024,2024-09,North,Store A,Offline,Consumer,Apparel,Sneakers,119.8,2,0.1,215.64,0.286,61.67,Completed
FC09FB2C,2024-03-14,2024,2024-03,South,Store A,Offline,SMB,Grocery,Milk 1L,4.81,4,0.239,14.64,0.211,3.09,Completed
DF7489F3,2024-07-04,2024,2024-07,South,Store A,Online,Consumer,Home,Lamp,154.82,2,0.111,275.27,0.245,67.44,Completed
8A6EC98D,2024-06-24,2024,2024-06,North,Store D,Offline,Corporate,Grocery,Eggs 12,8.67,3,0.098,23.46,0.116,2.72,Completed
5867C8BB,2024-06-11,2024,2024-06,Central,Store C,Offline,Consumer,Home,Desk,300.75,3,0.081,829.17,0.288,238.8,Completed
6BE127D7,2024-03-30,2024,2024-03,West,Store C,Online,Corporate,Home,Vacuum,73.5,2,0.077,135.68,0.321,43.55,Completed
DD5D951C,2024-08-12,2024,2024-08,Central,Store E,Online,Consumer,Apparel,T-Shirt,126.68,5,0.084,580.19,0.264,153.17,Completed
892F437E,2024-08-29,2024,2024-08,Central,Store A,Offline,Corporate,Apparel,T-Shirt,79.58,2,0.302,111.09,0.288,31.99,Completed
6F46F544,2025-02-22,2025,2025-02,South,Store E,Offline,Consumer,Grocery,Pasta 1kg,6.28,2,0.089,11.44,0.265,3.03,Completed
887CEED2,2025-03-06,2025,2025-03,North,Store A,Offline,Corporate,Beauty,Moisturizer,79.88,4,0.163,267.44,0.293,78.36,Completed
700CF60B,2024-10-09,2024,2024-10,Central,Store C,Online,Consumer,Home,Chair,204.31,4,0.018,802.53,0.112,89.88,Completed
FF5EEEA9,2024-09-05,2024,2024-09,East,Store D,Online,Corporate,Grocery,Milk 1L,25.11,4,0.115,88.89,0.22,19.56,Completed
B2ECF904,2025-02-24,2025,2025-02,West,Store E,Online,Consumer,Home,Desk,115.47,5,0.099,520.19,0.306,159.18,Completed
6429D475,2025-04-24,2025,2025-04,Central,Store D,Online,Corporate,Electronics,Smartphone,508.33,4,0.074,1882.85,0.25,470.71,Completed
2B8D7594,2024-12-30,2024,2024-12,South,Store D,Online,Consumer,Electronics,Headphones,863.73,3,0.143,2220.65,0.258,572.93,Returned
AC3B3F93,2025-03-08,2025,2025-03,East,Store C,Offline,Consumer,Electronics,Camera,535.46,2,0.156,903.86,0.311,281.1,Completed
86E81118,2025-05-22,2025,2025-05,South,Store B,Offline,Consumer,Grocery,Coffee 500g,15.2,4,0.193,49.07,0.211,10.35,Completed
B68A57EB,2024-01-22,2024,2024-01,North,Store A,Online,Corporate,Grocery,Milk 1L,14.71,2,0.325,19.86,0.264,5.24,Completed
CCF95125,2025-04-17,2025,2025-04,North,Store B,Offline,Consumer,Grocery,Eggs 12,44.9,2,0.118,79.2,0.213,16.87,Completed
892BBB15,2024-05-29,2024,2024-05,South,Store B,Online,Consumer,Electronics,Smartphone,654.6,3,0.019,1926.49,0.178,342.92,Completed
A45BFD4B,2024-09-13,2024,2024-09,South,Store D,Offline,Corporate,Grocery,Eggs 12,26.17,3,0.258,58.25,0.288,16.78,Completed
6C50838E,2025-03-06,2025,2025-03,West,Store B,Online,Consumer,Apparel,Jeans,138.66,3,0.066,388.53,0.285,110.73,Completed
BFFFA54A,2025-01-22,2025,2025-01,East,Store B,Online,Consumer,Electronics,Headphones,943.94,4,0.085,3454.82,0.345,1191.91,Returned
D3B2A3A9,2024-03-20,2024,2024-03,West,Store B,Offline,Consumer,Apparel,Sneakers,21.16,3,0.272,46.21,0.103,4.76,Completed
9086C57C,2024-12-21,2024,2024-12,South,Store A,Online,Corporate,Electronics,Laptop,480.34,5,0.154,2031.84,0.227,461.23,Completed
6D9BA328,2024-02-07,2024,2024-02,North,Store E,Online,Consumer,Apparel,Hoodie,113.92,3,0.036,329.46,0.299,98.51,Completed
9CB3DDFA,2024-07-11,2024,2024-07,East,Store E,Online,Consumer,Electronics,Headphones,584.2,2,0.0,1168.4,0.218,254.71,Completed
D3AC9E57,2025-03-14,2025,2025-03,South,Store B,Offline,Consumer,Apparel,Sneakers,85.42,2,0.133,148.12,0.363,53.77,Completed
F32D0DC1,2024-08-18,2024,2024-08,West,Store B,Online,Consumer,Apparel,Jeans,47.37,2,0.056,89.43,0.192,17.17,Completed
1C9CE4F8,2024-11-19,2024,2024-11,South,Store E,Online,Consumer,Home,Vacuum,218.07,1,0.043,208.69,0.353,73.67,Completed
A9806675,2025-01-28,2025,2025-01,South,Store E,Online,Consumer,Electronics,Laptop,720.12,5,0.116,3182.93,0.234,744.81,Completed
E6CA9688,2025-03-19,2025,2025-03,West,Store D,Online,Consumer,Grocery,Coffee 500g,25.76,5,0.0,128.8,0.21,27.05,Completed
858936CF,2025-02-14,2025,2025-02,North,Store C,Online,Consumer,Grocery,Rice 5kg,33.04,2,0.067,61.65,0.258,15.91,Completed
9EBBE615,2024-01-04,2024,2024-01,West,Store A,Offline,Corporate,Electronics,Laptop,540.96,6,0.1,2921.18,0.335,978.6,Completed
F7C4EBE9,2024-08-14,2024,2024-08,South,Store C,Online,Consumer,Grocery,Milk 1L,34.06,2,0.011,67.37,0.306,20.62,Completed
F5706991,2024-09-07,2024,2024-09,North,Store B,Offline,Consumer,Electronics,Tablet,688.78,2,0.084,1261.84,0.239,301.58,Returned
464192F3,2024-01-30,2024,2024-01,West,Store B,Online,SMB,Electronics,Smartwatch,823.53,6,0.154,4180.24,0.343,1433.82,Completed
08F98AF9,2024-10-19,2024,2024-10,East,Store D,Online,Consumer,Apparel,Jeans,94.43,4,0.179,310.11,0.358,111.02,Completed
A5E246A7,2024-11-24,2024,2024-11,North,Store E,Online,Corporate,Grocery,Olive Oil 500ml,22.73,5,0.244,85.92,0.304,26.12,Completed
8E9D6142,2025-03-23,2025,2025-03,East,Store B,Online,Corporate,Apparel,Dress,45.72,3,0.22,106.98,0.253,27.07,Completed
CD2CF8FF,2025-05-23,2025,2025-05,East,Store C,Online,Consumer,Home,Desk,203.23,4,0.14,699.11,0.271,189.46,Completed
C2ED5B09,2024-03-10,2024,2024-03,West,Store C,Offline,Consumer,Apparel,T-Shirt,16.66,3,0.203,39.83,0.222,8.84,Completed
4E200196,2024-05-04,2024,2024-05,North,Store D,Online,SMB,Grocery,Olive Oil 500ml,10.0,7,0.238,53.34,0.173,9.23,Completed
5D87427C,2024-12-21,2024,2024-12,East,Store A,Offline,Consumer,Apparel,Jacket,62.56,3,0.082,172.29,0.359,61.85,Completed
F54E2A8B,2024-03-12,2024,2024-03,Central,Store A,Online,Consumer,Apparel,Jeans,112.68,5,0.092,511.57,0.329,168.31,Completed
7F802E22,2024-05-01,2024,2024-05,North,Store D,Online,Consumer,Home,Air Purifier,281.67,5,0.007,1398.49,0.214,299.28,Completed
EE97E5AC,2024-11-06,2024,2024-11,West,Store B,Online,Consumer,Apparel,T-Shirt,127.55,2,0.091,231.89,0.299,69.34,Completed
0D46CCDE,2024-04-01,2024,2024-04,South,Store D,Offline,SMB,Apparel,Dress,75.26,3,0.014,222.62,0.288,64.11,Completed
75B7CE94,2025-02-26,2025,2025-02,East,Store B,Online,Consumer,Electronics,Tablet,845.28,4,0.183,2762.38,0.323,892.25,Completed
28A418BC,2025-04-07,2025,2025-04,South,Store A,Online,Corporate,Home,Air Purifier,130.45,6,0.049,744.35,0.232,172.69,Completed
590D0A21,2024-01-19,2024,2024-01,East,Store B,Offline,Corporate,Beauty,Moisturizer,25.42,2,0.075,47.03,0.287,13.5,Completed
07DF4074,2024-10-14,2024,2024-10,East,Store D,Offline,SMB,Apparel,Dress,106.06,5,0.128,462.42,0.152,70.29,Returned
36A4F3DD,2025-03-06,2025,2025-03,Central,Store B,Offline,Corporate,Grocery,Coffee 500g,4.37,4,0.103,15.68,0.266,4.17,Cancelled
1FCBB98A,2025-06-10,2025,2025-06,Central,Store B,Online,Consumer,Electronics,Headphones,946.39,3,0.042,2719.92,0.422,1147.81,Completed
ABF1E955,2024-05-28,2024,2024-05,Central,Store C,Online,Consumer,Beauty,Serum,36.83,2,0.138,63.49,0.156,9.9,Completed
E43FFC3B,2024-04-01,2024,2024-04,Central,Store A,Online,SMB,Home,Desk,288.5,3,0.097,781.55,0.302,236.03,Returned
57466687,2025-04-18,2025,2025-04,South,Store A,Online,Consumer,Home,Desk,69.65,4,0.266,204.49,0.328,67.07,Completed
795F0A4F,2025-05-05,2025,2025-05,West,Store D,Offline,Corporate,Electronics,Laptop,803.07,3,0.164,2014.1,0.177,356.5,Completed
82122F6D,2024-04-16,2024,2024-04,Central,Store B,Online,Corporate,Beauty,Shampoo,56.82,2,0.128,99.09,0.287,28.44,Completed
48E2EFAF,2024-08-26,2024,2024-08,North,Store C,Offline,SMB,Beauty,Shampoo,72.33,3,0.232,166.65,0.211,35.16,Completed
C74E8362,2025-01-23,2025,2025-01,West,Store E,Online,Consumer,Grocery,Pasta 1kg,22.44,7,0.214,123.46,0.347,42.84,Completed
F02B5A85,2025-04-01,2025,2025-04,East,Store E,Online,Consumer,Beauty,Moisturizer,42.27,5,0.189,171.4,0.215,36.85,Completed
CF4B1B20,2024-03-31,2024,2024-03,North,Store C,Online,Consumer,Apparel,Jeans,66.84,3,0.06,188.49,0.233,43.92,Completed
5B006958,2024-12-25,2024,2024-12,West,Store C,Online,Consumer,Electronics,Smartwatch,316.17,3,0.122,832.79,0.231,192.37,Completed
CF7E12EB,2025-03-12,2025,2025-03,West,Store B,Online,Consumer,Home,Lamp,185.82,4,0.246,560.43,0.179,100.32,Completed
0EAE2531,2024-10-23,2024,2024-10,West,Store B,Online,Corporate,Grocery,Milk 1L,42.54,4,0.0,170.16,0.418,71.13,Completed
926D963E,2024-03-29,2024,2024-03,North,Store A,Online,Corporate,Electronics,Smartphone,518.39,5,0.111,2304.24,0.351,808.79,Completed
1743BD13,2024-01-20,2024,2024-01,Central,Store E,Offline,Consumer,Apparel,T-Shirt,69.66,4,0.111,247.71,0.386,95.62,Returned
9D916213,2024-06-01,2024,2024-06,South,Store C,Offline,Corporate,Electronics,Laptop,195.91,3,0.075,543.65,0.251,136.46,Completed
892B61BC,2025-03-12,2025,2025-03,West,Store B,Online,Consumer,Electronics,Smartphone,429.4,4,0.157,1447.94,0.318,460.44,Returned
AC9625AB,2024-01-25,2024,2024-01,North,Store D,Online,Consumer,Electronics,Smartwatch,188.07,2,0.088,343.04,0.297,101.88,Completed
8112C206,2024-01-05,2024,2024-01,East,Store E,Offline,Consumer,Apparel,Jacket,75.21,6,0.26,333.93,0.223,74.47,Cancelled
0C538A88,2024-07-14,2024,2024-07,North,Store E,Online,Consumer,Electronics,Headphones,734.99,3,0.0,2204.97,0.3,661.49,Completed
06DC5AFA,2024-02-04,2024,2024-02,East,Store D,Online,Corporate,Electronics,Tablet,815.44,3,0.094,2216.37,0.214,474.3,Returned
3546093C,2024-03-21,2024,2024-03,West,Store D,Offline,Corporate,Electronics,Smartphone,796.59,4,0.072,2956.94,0.165,487.9,Completed
3A421F7A,2024-01-13,2024,2024-01,South,Store D,Online,Consumer,Beauty,Sunscreen,52.44,2,0.0,104.88,0.206,21.61,Completed
E265EF4C,2024-10-10,2024,2024-10,West,Store E,Offline,Consumer,Apparel,T-Shirt,125.26,4,0.0,501.04,0.392,196.41,Completed
D86F1C28,2025-01-11,2025,2025-01,East,Store C,Offline,SMB,Electronics,Headphones,709.46,3,0.179,1747.4,0.175,305.8,Completed
0C086A23,2024-08-18,2024,2024-08,North,Store D,Online,Corporate,Grocery,Eggs 12,36.29,2,0.01,71.85,0.286,20.55,Completed
9EF1275D,2024-03-13,2024,2024-03,North,Store B,Online,Consumer,Apparel,Dress,31.74,3,0.113,84.46,0.245,20.69,Completed
9E20C498,2024-06-27,2024,2024-06,North,Store A,Offline,Consumer,Grocery,Pasta 1kg,19.25,4,0.063,72.15,0.23,16.59,Cancelled
1AF3FBE1,2024-11-14,2024,2024-11,South,Store E,Online,Consumer,Beauty,Sunscreen,60.61,5,0.043,290.02,0.316,91.65,Completed
662DF647,2025-05-22,2025,2025-05,Central,Store B,Online,Consumer,Apparel,T-Shirt,61.55,3,0.287,131.66,0.25,32.92,Completed
272736C2,2025-06-19,2025,2025-06,South,Store C,Offline,Corporate,Home,Cookware Set,83.67,3,0.131,218.13,0.337,73.51,Completed
56CB5250,2024-05-10,2024,2024-05,West,Store D,Offline,Consumer,Home,Lamp,177.79,2,0.124,311.49,0.288,89.71,Completed
E4F0337A,2024-01-06,2024,2024-01,West,Store A,Offline,SMB,Home,Cookware Set,281.01,1,0.293,198.67,0.314,62.38,Cancelled
4777A5D5,2025-03-24,2025,2025-03,West,Store B,Online,Consumer,Grocery,Eggs 12,34.28,3,0.243,77.85,0.206,16.04,Completed
A3C40697,2025-05-15,2025,2025-05,West,Store E,Online,SMB,Electronics,Laptop,324.21,2,0.202,517.44,0.251,129.88,Completed
3BB4715B,2024-09-04,2024,2024-09,North,Store A,Online,Consumer,Grocery,Olive Oil 500ml,19.48,2,0.103,34.95,0.213,7.44,Completed
840D9350,2025-02-20,2025,2025-02,Central,Store D,Offline,Consumer,Electronics,Camera,187.17,6,0.11,999.49,0.301,300.85,Completed
28C885E5,2025-04-12,2025,2025-04,South,Store B,Online,Corporate,Beauty,Sunscreen,38.62,2,0.228,59.63,0.215,12.82,Completed
C6832261,2024-11-25,2024,2024-11,Central,Store C,Offline,Corporate,Grocery,Olive Oil 500ml,20.08,3,0.08,55.42,0.162,8.98,Completed
AE7B1914,2025-04-16,2025,2025-04,North,Store B,Online,Consumer,Electronics,Tablet,299.07,3,0.138,773.4,0.269,208.04,Completed
511F4B78,2024-01-13,2024,2024-01,North,Store D,Offline,SMB,Grocery,Olive Oil 500ml,35.35,4,0.095,127.97,0.214,27.39,Returned
878C72D0,2024-05-26,2024,2024-05,North,Store B,Offline,Consumer,Beauty,Conditioner,9.53,6,0.086,52.26,0.322,16.83,Completed
5128D1A5,2024-05-29,2024,2024-05,West,Store B,Offline,Consumer,Home,Chair,49.32,3,0.0,147.96,0.37,54.75,Cancelled
08D8BB13,2024-03-06,2024,2024-03,North,Store A,Online,SMB,Beauty,Lipstick,60.84,2,0.256,90.53,0.306,27.7,Completed
AB072D60,2025-05-06,2025,2025-05,East,Store B,Online,Consumer,Electronics,Smartphone,606.15,5,0.112,2691.31,0.336,904.28,Returned
6F7D03D7,2024-01-17,2024,2024-01,East,Store C,Online,Consumer,Home,Lamp,101.25,2,0.135,175.16,0.251,43.97,Completed
EE01D8B8,2024-12-29,2024,2024-12,East,Store B,Online,Consumer,Home,Chair,221.97,3,0.089,606.64,0.345,209.29,Completed
6F68FA45,2024-02-08,2024,2024-02,South,Store B,Online,SMB,Beauty,Conditioner,13.52,4,0.058,50.94,0.304,15.49,Completed
D19BCE66,2024-07-13,2024,2024-07,Central,Store C,Online,Consumer,Home,Vacuum,227.89,5,0.157,960.56,0.248,238.22,Completed
F68462D3,2024-08-13,2024,2024-08,East,Store B,Offline,Consumer,Electronics,Headphones,885.0,5,0.205,3517.88,0.224,788.01,Completed
CF3729D7,2024-04-07,2024,2024-04,North,Store A,Offline,Consumer,Beauty,Conditioner,87.51,3,0.126,229.45,0.358,82.14,Completed
8088D4D7,2024-10-08,2024,2024-10,East,Store D,Online,Consumer,Beauty,Moisturizer,79.68,1,0.197,63.98,0.274,17.53,Completed
2546B9EB,2024-10-15,2024,2024-10,North,Store D,Online,Consumer,Apparel,Jacket,92.83,4,0.056,350.53,0.33,115.67,Completed
A8BDBFB4,2024-06-20,2024,2024-06,West,Store B,Online,SMB,Apparel,Jacket,126.72,3,0.092,345.19,0.266,91.82,Completed
A491115D,2025-02-02,2025,2025-02,North,Store B,Online,Consumer,Electronics,Tablet,400.53,3,0.175,991.31,0.188,186.37,Completed
99E99F2E,2024-03-27,2024,2024-03,Central,Store C,Offline,Consumer,Grocery,Coffee 500g,42.75,4,0.151,145.18,0.238,34.55,Completed
245FB2BC,2024-04-13,2024,2024-04,North,Store A,Online,Consumer,Electronics,Headphones,668.73,4,0.11,2380.68,0.294,699.92,Completed
96549CBB,2024-07-10,2024,2024-07,South,Store B,Online,Consumer,Apparel,Jacket,73.16,5,0.034,353.36,0.346,122.26,Cancelled
D7A2CBA5,2024-07-23,2024,2024-07,North,Store E,Online,Corporate,Beauty,Lipstick,83.02,3,0.192,201.24,0.328,66.01,Completed
A831D1A5,2024-04-21,2024,2024-04,East,Store B,Offline,Consumer,Beauty,Conditioner,63.04,4,0.173,208.54,0.259,54.01,Returned
15C92829,2025-05-11,2025,2025-05,South,Store B,Online,Consumer,Home,Air Purifier,218.72,1,0.12,192.47,0.298,57.36,Completed
